sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0097,0.9363,0.054
6.9,3.1,5.1,2.3,virginica,0.0131,0.0064,0.9805
5.1,2.5,3.0,1.1,versicolor,0.0264,0.9488,0.0248
4.4,2.9,,0.2,setosa,0.4857,0.3741,0.1403
5.9,3.0,5.1,1.8,virginica,0.0154,0.1521,0.8325
5.5,3.5,1.3,0.2,setosa,0.9444,0.0312,0.0243
5.6,,3.6,1.3,versicolor,0.0327,0.9565,0.0108
6.5,3.0,5.2,2.0,virginica,0.0119,0.018,0.9701
5.3,3.7,1.5,0.2,setosa,0.9503,0.026,0.0237
5.1,3.4,1.5,,setosa,0.6986,0.2188,0.0826
6.1,2.8,4.0,1.3,versicolor,0.0128,0.9758,0.0114
5.5,2.4,3.7,1.0,versicolor,0.0146,0.966,0.0194
7.7,3.0,6.1,2.3,virginica,0.0155,0.0074,0.9771
6.9,3.1,4.9,1.5,versicolor,0.0173,0.7605,0.2222
6.0,2.2,5.0,1.5,virginica,0.0198,0.1497,0.8306
