id,loan_status,aproval_prob
58645,1,0.9887
58646,0,0.0236
58647,1,0.7296
58648,0,0.0139
58649,0,0.0671
58650,1,0.9201
58651,0,0.0032
58652,0,0.0066
58653,0,0.2625
58654,0,0.0326
58655,0,0.0784
58656,0,0.1124
58657,0,0.0095
58658,0,0.0066
58659,0,0.0178
58660,0,0.0712
58661,0,0.0085
58662,0,0.0026
58663,0,0.0408
58664,0,0.0048
58665,0,0.0226
58666,0,0.0116
58667,0,0.0066
58668,0,0.0055
58669,0,0.0116
58670,0,0.0013
58671,0,0.1909
58672,0,0.0037
58673,1,0.9201
58674,0,0.0012
58675,0,0.0167
58676,0,0.2722
58677,0,0.032
58678,0,0.0061
58679,0,0.279
58680,1,0.9623
58681,0,0.0377
58682,0,0.0015
58683,0,0.0117
58684,0,0.2147
58685,0,0.1075
58686,0,0.0226
58687,0,0.44
58688,0,0.0287
58689,0,0.281
58690,0,0.0014
58691,0,0.0252
58692,0,0.0263
58693,0,0.0058
58694,0,0.0212
58695,1,0.94
58696,0,0.0143
58697,0,0.0382
58698,0,0.0136
58699,0,0.0118
58700,0,0.0084
58701,0,0.011
58702,0,0.021
58703,0,0.1863
58704,0,0.4442
58705,0,0.0868
58706,0,0.0659
58707,0,0.0164
58708,0,0.0325
58709,1,0.9534
58710,0,0.0496
58711,1,0.959
58712,0,0.0621
58713,0,0.0057
58714,0,0.0205
58715,0,0.0032
58716,0,0.2061
58717,0,0.0168
58718,0,0.0417
58719,0,0.0033
58720,0,0.0005
58721,0,0.0392
58722,0,0.0962
58723,0,0.0136
58724,0,0.0192
58725,0,0.0185
58726,0,0.0228
58727,0,0.077
58728,0,0.1184
58729,0,0.0072
58730,0,0.0062
58731,0,0.0172
58732,0,0.1432
58733,0,0.0006
58734,0,0.0105
58735,0,0.0201
58736,0,0.0484
58737,0,0.0413
58738,1,0.9809
58739,0,0.0607
58740,1,0.9087
58741,0,0.0422
58742,0,0.0058
58743,0,0.0191
58744,0,0.0057
58745,0,0.0067
58746,0,0.0491
58747,0,0.007
58748,0,0.0163
58749,0,0.0256
58750,0,0.0113
58751,0,0.0442
58752,1,0.9035
58753,0,0.0036
58754,0,0.067
58755,0,0.0802
58756,0,0.0025
58757,0,0.0172
58758,0,0.0088
58759,0,0.0011
58760,0,0.0015
58761,0,0.014
58762,0,0.0065
58763,1,0.9676
58764,0,0.0018
58765,0,0.0214
58766,0,0.0115
58767,0,0.023
58768,1,0.9311
58769,0,0.0045
58770,0,0.0261
58771,0,0.0449
58772,0,0.0222
58773,0,0.0259
58774,0,0.014
58775,1,0.9073
58776,1,0.7278
58777,0,0.009
58778,0,0.0162
58779,0,0.0425
58780,0,0.0124
58781,0,0.0274
58782,0,0.0682
58783,0,0.0312
58784,0,0.0143
58785,0,0.0047
58786,0,0.1333
58787,0,0.0614
58788,0,0.1094
58789,0,0.0472
58790,0,0.0301
58791,0,0.081
58792,0,0.0014
58793,0,0.0368
58794,0,0.0101
58795,0,0.0191
58796,0,0.0191
58797,0,0.0311
58798,0,0.0856
58799,1,0.8688
58800,0,0.0376
58801,0,0.0023
58802,1,0.8472
58803,0,0.3108
58804,0,0.3995
58805,1,0.9312
58806,0,0.0523
58807,0,0.0099
58808,0,0.0317
58809,1,0.9535
58810,1,0.9091
58811,0,0.0193
58812,0,0.0445
58813,0,0.0209
58814,0,0.0294
58815,0,0.0167
58816,0,0.0197
58817,0,0.0015
58818,0,0.0419
58819,0,0.0759
58820,0,0.0031
58821,0,0.0216
58822,0,0.0034
58823,0,0.1279
58824,0,0.0435
58825,0,0.0013
58826,0,0.1494
58827,0,0.03
58828,0,0.0098
58829,0,0.124
58830,0,0.0221
58831,0,0.1275
58832,0,0.0187
58833,0,0.0039
58834,0,0.0122
58835,1,0.9597
58836,0,0.0497
58837,0,0.0873
58838,0,0.0071
58839,0,0.0013
58840,0,0.0079
58841,1,0.9626
58842,0,0.0034
58843,0,0.0202
58844,0,0.0538
58845,0,0.142
58846,0,0.0006
58847,1,0.928
58848,0,0.105
58849,0,0.2054
58850,0,0.0288
58851,0,0.0759
58852,0,0.3161
58853,0,0.0253
58854,1,0.9748
58855,0,0.1765
58856,0,0.002
58857,0,0.0686
58858,0,0.1876
58859,0,0.0163
58860,0,0.0075
58861,0,0.0469
58862,0,0.1994
58863,0,0.2218
58864,0,0.0207
58865,0,0.3783
58866,0,0.0084
58867,0,0.0005
58868,0,0.0259
58869,0,0.0102
58870,0,0.1029
58871,0,0.0071
58872,0,0.0214
58873,0,0.0116
58874,1,0.9694
58875,0,0.0111
58876,0,0.0112
58877,0,0.0024
58878,0,0.0232
58879,0,0.007
58880,0,0.055
58881,0,0.0175
58882,0,0.004
58883,0,0.2426
58884,0,0.113
58885,0,0.1243
58886,0,0.0022
58887,1,0.9527
58888,0,0.2837
58889,1,0.9652
58890,0,0.0988
58891,0,0.4051
58892,0,0.0347
58893,0,0.0168
58894,0,0.0379
58895,0,0.0047
58896,0,0.0043
58897,0,0.025
58898,0,0.0965
58899,1,0.9623
58900,0,0.0133
58901,0,0.0496
58902,0,0.1072
58903,0,0.0043
58904,0,0.0499
58905,0,0.0071
58906,0,0.083
58907,0,0.0616
58908,0,0.0059
58909,0,0.0387
58910,0,0.0016
58911,0,0.0141
58912,0,0.0035
58913,0,0.2737
58914,0,0.0124
58915,0,0.02
58916,0,0.0245
58917,0,0.032
58918,0,0.0132
58919,0,0.0058
58920,0,0.2415
58921,0,0.0094
58922,0,0.0335
58923,0,0.0089
58924,0,0.0204
58925,0,0.0124
58926,0,0.0848
58927,0,0.0351
58928,0,0.1039
58929,0,0.0021
58930,0,0.0146
58931,1,0.9221
58932,1,0.918
58933,0,0.4494
58934,0,0.055
58935,0,0.0163
58936,0,0.0308
58937,0,0.021
58938,0,0.0192
58939,0,0.0089
58940,0,0.0182
58941,1,0.9755
58942,1,0.9093
58943,0,0.019
58944,0,0.0292
58945,0,0.0305
58946,0,0.0246
58947,0,0.0118
58948,0,0.0142
58949,0,0.005
58950,0,0.3606
58951,0,0.1932
58952,0,0.0111
58953,0,0.0208
58954,1,0.9756
58955,0,0.0216
58956,0,0.0024
58957,1,0.9921
58958,1,0.9831
58959,0,0.0274
58960,0,0.0263
58961,0,0.0048
58962,0,0.125
58963,0,0.0382
58964,0,0.0237
58965,0,0.0245
58966,0,0.0173
58967,0,0.0093
58968,0,0.0214
58969,0,0.2495
58970,0,0.0026
58971,0,0.1041
58972,0,0.0442
58973,1,0.9821
58974,0,0.0747
58975,0,0.0556
58976,0,0.0398
58977,0,0.0505
58978,0,0.046
58979,0,0.0196
58980,0,0.0142
58981,0,0.0019
58982,0,0.0222
58983,0,0.0068
58984,0,0.008
58985,0,0.0313
58986,1,0.9654
58987,0,0.011
58988,0,0.045
58989,0,0.0232
58990,0,0.0025
58991,0,0.0164
58992,0,0.0164
58993,0,0.0027
58994,0,0.0164
58995,1,0.9849
58996,0,0.0255
58997,1,0.9126
58998,0,0.0129
58999,0,0.0145
59000,0,0.0822
59001,0,0.0882
59002,0,0.0834
59003,0,0.0508
59004,0,0.0308
59005,0,0.0032
59006,0,0.0216
59007,0,0.0743
59008,1,0.9679
59009,0,0.0129
59010,0,0.0073
59011,0,0.0119
59012,0,0.0248
59013,0,0.0048
59014,0,0.0113
59015,0,0.0894
59016,0,0.0111
59017,0,0.0215
59018,0,0.0383
59019,0,0.0077
59020,0,0.0028
59021,0,0.0192
59022,0,0.0854
59023,1,0.9714
59024,0,0.0418
59025,1,0.9798
59026,0,0.016
59027,0,0.0083
