id,machine_failure,probability
136429,0,0.0023
136430,0,0.0013
136431,0,0.0028
136432,0,0.004
136433,0,0.0042
136434,0,0.0028
136435,0,0.0035
136436,0,0.0052
136437,0,0.0012
136438,0,0.0012
136439,0,0.0024
136440,0,0.0026
136441,0,0.0012
136442,0,0.0018
136443,0,0.0023
136444,0,0.0052
136445,0,0.001
136446,1,0.9939
136447,0,0.0023
136448,0,0.0014
136449,0,0.0063
136450,0,0.0039
136451,0,0.0182
136452,0,0.0181
136453,0,0.0038
136454,0,0.0016
136455,0,0.0015
136456,0,0.0062
136457,0,0.007
136458,0,0.0048
136459,0,0.004
136460,0,0.0031
136461,0,0.0013
136462,0,0.0184
136463,0,0.0019
136464,0,0.0025
136465,0,0.0016
136466,0,0.0023
136467,0,0.0012
136468,0,0.0031
136469,0,0.0015
136470,0,0.0023
136471,0,0.009
136472,0,0.0065
136473,0,0.0026
136474,0,0.0018
136475,0,0.0043
136476,0,0.0073
136477,0,0.0024
136478,0,0.0022
136479,0,0.0015
136480,0,0.0052
136481,0,0.0025
136482,0,0.026
136483,0,0.0039
136484,0,0.0012
136485,0,0.0017
136486,0,0.002
136487,0,0.0015
136488,0,0.0042
136489,0,0.0011
136490,0,0.0222
136491,0,0.004
136492,0,0.0035
136493,0,0.0034
136494,0,0.0012
136495,0,0.0023
136496,0,0.0043
136497,0,0.0025
136498,0,0.0088
136499,0,0.0015
136500,0,0.001
136501,0,0.0014
136502,0,0.0059
136503,0,0.0033
136504,0,0.0012
136505,0,0.0012
136506,0,0.0026
136507,0,0.0008
136508,0,0.0012
136509,0,0.0044
136510,0,0.0016
136511,0,0.0096
136512,0,0.0011
136513,0,0.007
136514,0,0.002
136515,0,0.0027
136516,0,0.0031
136517,0,0.002
136518,0,0.0016
136519,0,0.0031
136520,0,0.0025
136521,0,0.0017
136522,0,0.0027
136523,0,0.0012
136524,0,0.0014
136525,0,0.0052
136526,0,0.0061
136527,0,0.0072
136528,0,0.0012
136529,0,0.0061
136530,0,0.0032
136531,0,0.0033
136532,0,0.004
136533,0,0.0039
136534,0,0.0005
136535,0,0.0023
136536,0,0.0026
136537,0,0.0008
136538,0,0.0049
136539,0,0.0013
136540,0,0.0021
136541,0,0.0008
136542,0,0.0039
136543,0,0.0076
136544,0,0.0026
136545,0,0.004
136546,0,0.001
136547,0,0.0028
136548,0,0.0023
136549,0,0.0022
136550,0,0.0082
136551,0,0.0015
136552,0,0.0016
136553,0,0.0013
136554,0,0.0025
136555,0,0.0131
136556,0,0.0065
136557,0,0.0038
136558,0,0.0038
136559,0,0.0026
136560,0,0.0054
136561,0,0.0073
136562,0,0.0022
136563,0,0.0029
136564,0,0.0018
136565,0,0.0174
136566,0,0.0011
136567,0,0.0044
136568,0,0.0036
136569,0,0.0038
136570,0,0.001
136571,0,0.008
136572,0,0.0038
136573,0,0.0015
136574,0,0.0051
136575,0,0.0013
136576,0,0.0047
136577,0,0.0052
136578,0,0.0016
136579,0,0.0053
136580,0,0.0016
136581,0,0.0015
136582,0,0.0012
136583,0,0.0015
136584,0,0.0019
136585,0,0.0033
136586,0,0.0465
136587,0,0.001
136588,0,0.0053
136589,0,0.0029
136590,0,0.0016
136591,0,0.0034
136592,0,0.0077
136593,0,0.0057
136594,0,0.0006
136595,0,0.0017
136596,0,0.0014
136597,0,0.0015
136598,0,0.0046
136599,0,0.0023
136600,0,0.0018
136601,0,0.0052
136602,0,0.0061
136603,0,0.0034
136604,0,0.0015
136605,0,0.0068
136606,0,0.0021
136607,0,0.004
136608,0,0.0023
136609,0,0.005
136610,0,0.0049
136611,0,0.001
136612,0,0.0022
136613,0,0.0028
136614,0,0.0011
136615,0,0.0007
136616,0,0.0019
136617,0,0.0088
136618,0,0.0021
136619,0,0.0021
136620,0,0.0017
136621,0,0.0028
136622,0,0.0018
136623,0,0.0012
136624,0,0.0016
136625,0,0.0032
136626,0,0.0004
136627,0,0.0034
136628,0,0.0041
136629,0,0.0005
136630,0,0.0013
136631,0,0.0054
136632,0,0.0034
136633,0,0.0015
136634,0,0.0018
136635,0,0.0111
136636,0,0.0136
136637,0,0.0031
136638,1,0.997
136639,0,0.0054
136640,0,0.0105
136641,0,0.0029
136642,0,0.0021
136643,0,0.0386
136644,0,0.0011
136645,0,0.001
136646,0,0.001
136647,0,0.0105
136648,0,0.0175
136649,0,0.0022
136650,0,0.0055
136651,0,0.0011
136652,1,0.9885
136653,0,0.0018
136654,0,0.002
136655,0,0.0047
136656,0,0.0044
136657,0,0.0037
136658,0,0.002
136659,0,0.0022
136660,0,0.002
136661,0,0.0041
136662,0,0.0123
136663,0,0.0029
136664,0,0.0167
136665,0,0.0014
136666,0,0.0005
136667,0,0.015
136668,0,0.0034
136669,0,0.0022
136670,0,0.004
136671,0,0.002
136672,0,0.0024
136673,0,0.0016
136674,0,0.0008
136675,0,0.0035
136676,0,0.0024
136677,0,0.0027
136678,0,0.0013
136679,0,0.0019
136680,0,0.0061
136681,0,0.0018
136682,0,0.0017
136683,0,0.0017
136684,0,0.0042
136685,0,0.0103
136686,0,0.0023
136687,0,0.0046
136688,0,0.0057
136689,0,0.0066
136690,0,0.004
136691,0,0.0137
136692,0,0.0025
136693,0,0.0009
136694,0,0.0011
136695,0,0.0018
136696,0,0.0052
136697,0,0.0007
136698,0,0.006
136699,0,0.0048
136700,0,0.0019
136701,0,0.0021
136702,0,0.0011
136703,0,0.0085
136704,0,0.0008
136705,0,0.0007
136706,0,0.0016
136707,0,0.0039
136708,0,0.01
136709,0,0.0002
136710,0,0.0019
136711,0,0.0038
136712,0,0.0006
136713,0,0.0022
136714,0,0.0138
136715,0,0.0077
136716,0,0.0014
136717,0,0.0042
136718,0,0.014
136719,0,0.0027
136720,0,0.0002
136721,0,0.0025
136722,0,0.0011
136723,0,0.0019
136724,0,0.0021
136725,0,0.0027
136726,0,0.0016
136727,0,0.0014
136728,0,0.0011
136729,0,0.0028
136730,0,0.001
136731,0,0.0097
136732,0,0.0027
136733,0,0.0022
136734,0,0.0016
136735,0,0.0017
136736,0,0.0022
136737,0,0.0013
136738,0,0.002
136739,0,0.0058
136740,0,0.0023
136741,0,0.0208
136742,0,0.0029
136743,0,0.003
136744,0,0.0022
136745,0,0.0056
136746,0,0.0024
136747,0,0.0024
136748,0,0.0013
136749,0,0.001
136750,0,0.0037
136751,0,0.0018
136752,0,0.001
136753,0,0.0146
136754,0,0.0021
136755,0,0.0125
136756,0,0.0015
136757,0,0.0087
136758,0,0.0017
136759,0,0.0026
136760,0,0.0016
136761,0,0.0014
136762,0,0.0242
136763,0,0.0026
136764,0,0.002
136765,0,0.0039
136766,0,0.0035
136767,0,0.0053
136768,0,0.0018
136769,0,0.0028
136770,0,0.0022
136771,0,0.0037
136772,0,0.0123
136773,0,0.0012
136774,0,0.0015
136775,0,0.0118
136776,0,0.0005
136777,0,0.0015
136778,0,0.0027
136779,0,0.0024
136780,0,0.0007
136781,0,0.0059
136782,0,0.0022
136783,0,0.0005
136784,0,0.0015
136785,0,0.0036
136786,0,0.0023
136787,0,0.0045
136788,0,0.012
136789,0,0.0021
136790,0,0.0008
136791,0,0.0024
136792,0,0.0062
136793,0,0.0014
136794,0,0.0052
136795,0,0.0033
136796,0,0.0036
136797,0,0.0031
136798,0,0.0045
136799,0,0.0026
136800,0,0.0027
136801,0,0.0014
136802,0,0.0032
136803,0,0.0019
136804,0,0.0015
136805,0,0.0034
136806,0,0.0009
136807,0,0.0026
136808,0,0.0018
136809,0,0.001
136810,0,0.005
136811,0,0.0091
136812,0,0.0007
136813,0,0.015
136814,0,0.0031
136815,0,0.0008
136816,0,0.0009
136817,0,0.0012
136818,0,0.0066
136819,0,0.0009
136820,0,0.0012
136821,0,0.0014
136822,0,0.0117
136823,0,0.0021
136824,0,0.0008
136825,0,0.002
136826,1,0.9967
136827,0,0.0005
136828,0,0.0014
136829,0,0.0038
136830,0,0.0023
136831,0,0.0014
136832,0,0.0025
136833,0,0.001
136834,1,0.9949
136835,0,0.0025
136836,0,0.0019
136837,0,0.0023
136838,0,0.0023
136839,0,0.0008
136840,0,0.0037
136841,0,0.005
136842,0,0.0024
136843,0,0.0013
136844,0,0.0032
136845,0,0.0034
136846,0,0.0016
136847,0,0.001
136848,0,0.0022
136849,0,0.0022
136850,0,0.0031
136851,0,0.0018
136852,0,0.0047
136853,0,0.0048
136854,0,0.0021
136855,0,0.0038
136856,0,0.021
136857,0,0.0035
136858,0,0.0029
136859,0,0.001
136860,0,0.0019
136861,0,0.0012
136862,0,0.006
136863,0,0.001
136864,0,0.0005
136865,0,0.0033
136866,0,0.0028
136867,0,0.0069
136868,0,0.0015
136869,0,0.0027
136870,0,0.0036
136871,0,0.0009
136872,0,0.0033
136873,0,0.0009
136874,0,0.0007
136875,0,0.002
136876,0,0.0012
136877,0,0.0029
136878,0,0.0005
136879,0,0.0056
136880,0,0.0026
136881,0,0.0034
136882,0,0.0008
136883,0,0.0011
136884,0,0.0021
136885,0,0.013
136886,0,0.0014
136887,0,0.0016
136888,0,0.0067
136889,0,0.0033
136890,0,0.002
136891,0,0.0022
136892,0,0.0016
136893,0,0.0026
136894,0,0.0008
136895,0,0.0014
136896,0,0.0012
136897,0,0.0046
136898,0,0.002
136899,0,0.0019
136900,0,0.002
136901,0,0.0021
136902,0,0.0017
136903,0,0.0007
136904,0,0.0032
136905,0,0.002
136906,0,0.001
136907,0,0.0024
136908,0,0.0013
136909,0,0.002
136910,0,0.0045
136911,0,0.0033
136912,0,0.0075
136913,0,0.0076
136914,0,0.0011
136915,0,0.0034
136916,0,0.0011
136917,0,0.0025
136918,0,0.0009
136919,0,0.0029
136920,0,0.0011
136921,0,0.0071
136922,0,0.0017
136923,0,0.0013
136924,0,0.0012
136925,0,0.0007
136926,0,0.0002
136927,0,0.0016
136928,0,0.002
136929,0,0.0026
136930,0,0.0031
136931,0,0.0108
136932,0,0.0054
136933,0,0.0019
136934,0,0.0032
136935,0,0.0016
136936,0,0.0061
136937,0,0.0009
136938,0,0.0011
136939,0,0.0012
136940,0,0.0021
136941,0,0.0141
136942,0,0.0015
136943,0,0.0014
136944,0,0.0958
136945,0,0.0075
136946,0,0.0052
136947,0,0.0027
136948,0,0.0011
136949,0,0.0044
136950,0,0.0018
136951,0,0.0028
136952,0,0.0009
136953,0,0.0027
136954,0,0.0005
136955,0,0.0018
136956,0,0.0014
136957,0,0.0023
136958,0,0.0031
136959,0,0.0021
136960,1,0.9933
136961,0,0.0074
136962,0,0.0022
136963,0,0.0083
136964,0,0.0048
136965,0,0.0096
136966,0,0.0124
136967,0,0.0022
136968,0,0.01
136969,0,0.0007
136970,0,0.0052
136971,0,0.004
136972,0,0.0047
136973,0,0.0045
136974,0,0.0005
136975,0,0.0083
136976,0,0.0018
136977,0,0.0049
136978,0,0.002
136979,0,0.0012
136980,0,0.0007
136981,0,0.001
136982,0,0.0027
136983,0,0.0019
136984,0,0.0017
136985,0,0.0153
136986,0,0.0018
136987,0,0.0052
136988,0,0.0022
136989,0,0.0027
136990,0,0.0006
136991,0,0.0018
136992,0,0.0007
136993,0,0.0014
136994,0,0.006
136995,0,0.0135
136996,0,0.0023
136997,0,0.0049
136998,0,0.0025
136999,0,0.0035
137000,0,0.0199
137001,0,0.002
137002,0,0.0035
137003,0,0.0028
137004,0,0.0413
137005,1,0.9986
137006,0,0.0004
137007,0,0.0017
137008,0,0.0033
137009,0,0.0108
137010,0,0.0045
137011,0,0.0045
137012,0,0.0117
137013,0,0.0055
137014,0,0.0009
137015,0,0.0096
137016,0,0.005
137017,0,0.0015
137018,0,0.0021
137019,0,0.0018
137020,0,0.0321
137021,0,0.0111
137022,0,0.0009
137023,0,0.0017
137024,0,0.0025
137025,0,0.0012
137026,0,0.0138
137027,0,0.003
137028,0,0.0021
137029,0,0.0013
137030,0,0.0078
137031,0,0.0085
137032,0,0.0034
137033,0,0.0043
137034,0,0.0055
137035,0,0.0107
137036,0,0.0044
137037,1,0.991
137038,0,0.004
137039,0,0.0015
137040,0,0.0011
137041,0,0.0079
137042,0,0.0009
137043,0,0.0022
137044,0,0.0011
137045,0,0.0012
137046,0,0.0012
137047,0,0.0016
137048,0,0.0052
137049,0,0.0065
137050,0,0.0007
137051,0,0.0033
137052,0,0.0059
137053,0,0.0026
137054,0,0.0012
137055,0,0.0027
137056,0,0.0012
137057,0,0.0012
137058,0,0.0021
137059,0,0.0064
137060,0,0.0009
137061,0,0.0012
137062,0,0.0087
137063,0,0.0053
137064,0,0.0041
137065,0,0.0119
137066,0,0.0052
137067,0,0.0012
137068,0,0.0017
137069,0,0.0025
137070,0,0.003
137071,0,0.0024
137072,0,0.0009
137073,0,0.0019
137074,0,0.005
137075,0,0.0034
137076,0,0.0007
137077,0,0.0017
137078,0,0.0017
137079,0,0.0039
137080,0,0.0041
137081,0,0.0038
137082,0,0.0012
137083,0,0.0004
137084,0,0.0025
137085,0,0.0053
137086,0,0.0045
137087,0,0.0018
137088,0,0.0114
137089,0,0.0014
137090,0,0.0022
137091,0,0.0009
137092,0,0.0076
137093,0,0.0049
137094,0,0.0107
137095,0,0.004
137096,0,0.0011
137097,0,0.0074
137098,0,0.0064
137099,0,0.0031
137100,0,0.0014
137101,0,0.0028
137102,0,0.0045
137103,0,0.0101
137104,0,0.0004
137105,0,0.0009
137106,0,0.0175
137107,0,0.0028
137108,0,0.0015
137109,0,0.0017
137110,0,0.0096
137111,0,0.0145
137112,1,0.9799
137113,0,0.019
137114,0,0.0012
137115,0,0.001
137116,0,0.0052
137117,0,0.0012
137118,0,0.0027
137119,0,0.0094
137120,0,0.0016
137121,0,0.0013
137122,0,0.0047
137123,0,0.002
137124,0,0.0121
137125,0,0.0009
137126,0,0.0007
137127,0,0.0038
137128,0,0.0013
137129,0,0.0016
137130,0,0.0019
137131,0,0.0026
137132,0,0.0018
137133,0,0.0016
137134,0,0.0118
137135,0,0.0065
137136,0,0.001
137137,0,0.0008
137138,0,0.0027
137139,0,0.0014
137140,0,0.0102
137141,0,0.0019
137142,0,0.003
137143,0,0.0018
137144,0,0.0018
137145,0,0.0008
137146,0,0.0029
137147,0,0.0006
137148,0,0.0063
137149,0,0.0027
137150,0,0.0052
137151,0,0.0013
137152,0,0.0029
137153,0,0.0174
137154,0,0.0033
137155,0,0.0026
137156,0,0.0068
137157,0,0.003
137158,0,0.0011
137159,0,0.0027
137160,0,0.0027
137161,0,0.0022
137162,0,0.0028
137163,0,0.0007
137164,0,0.0028
137165,0,0.0042
137166,0,0.003
137167,0,0.0041
137168,0,0.0027
137169,0,0.0032
137170,0,0.0015
137171,0,0.0021
137172,0,0.0015
137173,0,0.0033
137174,0,0.0005
137175,0,0.0039
137176,0,0.0016
137177,0,0.0053
137178,0,0.0017
137179,0,0.0029
137180,0,0.0009
137181,0,0.0026
137182,0,0.0107
137183,0,0.0018
137184,0,0.0021
137185,0,0.0051
137186,0,0.0022
137187,0,0.0011
137188,0,0.0081
137189,0,0.0103
137190,0,0.0014
137191,0,0.0018
137192,1,0.5648
137193,0,0.0013
137194,0,0.0024
137195,0,0.0133
